region,type,item,sales,share,rank
NA,platform,X360,140.05,0.23698326480193582,1
NA,platform,PS4,108.74,0.18400257204257406,2
NA,platform,PS3,103.38,0.17493273770242143,3
NA,platform,XOne,93.12,0.15757145032742778,4
NA,platform,3DS,55.31,0.09359189129735858,5
NA,genre,Action,177.84,0.3009289811665567,1
NA,genre,Shooter,144.77,0.24497013384774186,2
NA,genre,Sports,81.53,0.13795962570012013,3
NA,genre,Role-Playing,64.0,0.10829652943465827,4
NA,genre,Misc,38.19,0.06462256967358748,5
EU,platform,PS4,141.09,0.27838285781934413,1
EU,platform,PS3,106.86,0.2108440866579851,2
EU,platform,X360,74.52,0.14703445010062743,3
EU,platform,XOne,51.59,0.10179156307959435,4
EU,platform,3DS,42.64,0.08413243360561935,5
EU,genre,Action,159.34,0.3143916972495166,1
EU,genre,Shooter,113.47,0.22388619233652973,2
EU,genre,Sports,69.09,0.1363205871907186,3
EU,genre,Role-Playing,48.53,0.09575391657787775,4
EU,genre,Racing,27.29,0.05384554674243321,5
JP,platform,3DS,87.79,0.4558624987018382,1
JP,platform,PS3,35.29,0.18324852009554468,2
JP,platform,PSV,21.04,0.10925329733097933,3
JP,platform,PS4,15.96,0.08287464949631322,4
JP,platform,WiiU,13.01,0.0675563402222453,5
JP,genre,Role-Playing,65.44,0.3398068335237304,1
JP,genre,Action,52.800000000000004,0.27417177276975807,2
JP,genre,Misc,12.86,0.06677744314051304,3
JP,genre,Simulation,10.41,0.05405545747221934,4
JP,genre,Fighting,9.44,0.049018589677017346,5
